ε,Grille,Coût A*,Proba absorption GOAL,Proba MC GOAL,Temps moyen absorption,Temps planification (s),Temps simulation (s)
0.0,easy,8,1.0,1.0,9.0,0.00011,0.17994
0.0,medium,12,1.0,1.0,13.0,0.00017,0.26503
0.0,hard,16,1.0,1.0,17.0,0.00025,0.35086
0.1,easy,8,1.0,1.0,10.1,0.00011,0.20806
0.1,medium,12,1.0,1.0,14.8,0.00017,0.29701
0.1,hard,16,1.0,0.906,42.07,0.00025,0.59388
0.2,easy,8,1.0,1.0,11.54,0.00011,0.2288
0.2,medium,12,1.0,1.0,17.33,0.00018,0.34749
0.2,hard,16,1.0,0.809,67.86,0.00025,0.85685
0.3,easy,8,1.0,1.0,13.48,0.00011,0.28117
0.3,medium,12,1.0,1.0,21.02,0.00018,0.42118
0.3,hard,16,1.0,0.706,94.15,0.0003,1.07293
